('11.08', 'KAB. ACEH UTARA'),
('Meurah Mulia', 'Nibong'),
('Meurah Mulia', 'Tualang'),
('Meurah Mulia', 'Pulo Drien Beukah'),
('Meurah Mulia', 'Teungoh Kuta Batee'),
('Meurah Mulia', 'Ujung Kuta Batee'),
('Meurah Mulia', 'Pulo Blang'),
('Meurah Mulia', 'Leubok Tuwe'),
('Meurah Mulia', 'Baroh Kuta Batee'),
('Meurah Mulia', 'Gampong Teungoh'),
('Meurah Mulia', 'Ranto'),
('Meurah Mulia', 'Meunye Payong'),
('Meurah Mulia', 'Ujong Reuba'),
('Meurah Mulia', 'Paya Sutra'),
('Meurah Mulia', 'Baree Blang'),
('Meurah Mulia', 'Keude Jungka Gajah'),
('Meurah Mulia', 'Saramaba'),

('Samudera', 'Pie'),
('Samudera', 'Asan'),
('Samudera', 'Murong'),
('Samudera', 'Blang Kabu'),
('Samudera', 'Mancang'),
('Samudera', 'Keude Geudong'),
('Samudera', 'Blang Peuria'),
('Samudera', 'Teupin Ara'),
('Samudera', 'Teupin Beulangan'),
('Samudera', 'Krueng Baro Langgahan'),
('Samudera', 'Pusong'),
('Samudera', 'Tanjong Kleng'),
('Samudera', 'Gampong Baro'),
('Samudera', 'Beuringen'),
('Samudera', 'Kuta Krueng'),
('Samudera', 'Kuta Glumpang'),
('Samudera', 'Meucat'),
('Samudera', 'Krueng Baro Blang Mee'),
('Samudera', 'Ujong'),
('Samudera', 'Mesjid'),
('Samudera', 'Teungoh'),
('Samudera', 'Keude Blang Mee Pulo Klat'),
('Samudera', 'Puuk'),
('Samudera', 'Lancang'),
('Samudera', 'Matang Ulim'),
('Samudera', 'Sawang'),
('Samudera', 'Laga Baro'),
('Samudera', 'Pulo'),
('Samudera', 'Matang Tunong'),
('Samudera', 'Matang Puntong'),
('Samudera', 'Blang Nibong'),
('Samudera', 'Tanjong Baroh'),
('Samudera', 'Tanjong Hagu'),
('Samudera', 'Tanjong Reungkam'),
('Samudera', 'Tanjong Mesjid'),
('Samudera', 'Paya Terbang'),
('Samudera', 'Madan'),
('Samudera', 'Tanjong Awe'),
('Samudera', 'Kitou'),
('Samudera', 'Krueng Matee'),

('Seunuddon', 'Tanjong Pineng'),
('Seunuddon', 'Meurubo Puntong'),
('Seunuddon', 'Mane Kawan'),
('Seunuddon', 'Alue Barueh'),
('Seunuddon', 'Keude Simpang Jalan'),
('Seunuddon', 'Blang Pha'),
('Seunuddon', 'Alue Kiran'),
('Seunuddon', 'Blang Tue'),
('Seunuddon', 'Cot Kafiraton'),
('Seunuddon', 'Tanjong Dama'),
('Seunuddon', 'Paya Dua Uram'),
('Seunuddon', 'Paya Dua Ujong'),
('Seunuddon', 'Alue Capli'),
('Seunuddon', 'Simpang Peut'),
('Seunuddon', 'Meunasah  Sagoe'),
('Seunuddon', 'Matang Puntong'),
('Seunuddon', 'Matang Panyang'),
('Seunuddon', 'Cot Patisah'),
('Seunuddon', 'Cot Trueng'),
('Seunuddon', 'Darul Aman'),
('Seunuddon', 'Matang Jeulikat'),
('Seunuddon', 'Lhok Puuk'),
('Seunuddon', 'Ulee Rubek Barat'),
